Tanggal,Beban (MW)
2024-01-01,866.6227602059205
2024-01-02,849.294232127139
2024-01-03,874.5926228653461
2024-01-04,902.5711383724727
2024-01-05,851.5718786320446
2024-01-06,843.286061036268
2024-01-07,899.3971889551569
2024-01-08,886.7509190859138
2024-01-09,851.3466504883795
2024-01-10,883.4061157257266
2024-01-11,854.9201401999505
2024-01-12,856.5385573797541
2024-01-13,869.4510194473976
2024-01-14,806.4688692608611
2024-01-15,823.7877945362277
2024-01-16,860.3271898761814
2024-01-17,848.4633096780282
2024-01-18,889.9195424434871
2024-01-19,854.8862439036001
2024-01-20,831.3831789193525
2024-01-21,919.3370752852838
2024-01-22,880.1991652744712
2024-01-23,890.5921867649984
2024-01-24,847.4063533341936
2024-01-25,875.3878785254763
2024-01-26,896.6052369463391
2024-01-27,850.293126851372
2024-01-28,897.6259676406553
2024-01-29,879.8542233140147
2024-01-30,890.6267425221994
2024-01-31,882.8158960183285
2024-02-01,957.9099062718232
2024-02-02,903.395600411692
2024-02-03,863.512203448085
2024-02-04,921.3465229922075
2024-02-05,871.4547178462494
2024-02-06,915.738576546219
2024-02-07,852.0575832951193
2024-02-08,872.3590933771338
2024-02-09,919.4490671650914
2024-02-10,927.0169535033605
2024-02-11,911.3045102599269
2024-02-12,913.9749134116473
2024-02-13,909.6721658546879
2024-02-14,875.5901729941419
2024-02-15,899.5703359763362
2024-02-16,908.5452407007975
2024-02-17,945.255369082966
2024-02-18,925.0057574567094
2024-02-19,872.9393761869742
2024-02-20,936.6640017702376
2024-02-21,916.4771166945881
2024-02-22,908.7869056664989
2024-02-23,948.4863974826936
2024-02-24,952.0838915756146
2024-02-25,950.0860589037273
2024-02-26,907.9405369399017
2024-02-27,924.7854692879114
2024-02-28,944.9196120948596
2024-02-29,965.142749641251
2024-03-01,922.370408337601
2024-03-02,922.0194012145098
2024-03-03,895.2167017741555
2024-03-04,903.3119359235347
2024-03-05,964.3388616370503
2024-03-06,981.3885821373883
2024-03-07,939.2524951711233
2024-03-08,972.2031157084242
2024-03-09,943.6032491093487
2024-03-10,914.0301302441388
2024-03-11,954.8274739594419
2024-03-12,990.7007357366933
2024-03-13,944.0308704562168
2024-03-14,992.5627923336108
2024-03-15,867.5206252645378
2024-03-16,961.2310688967423
2024-03-17,939.6178042322958
2024-03-18,938.4398250032659
2024-03-19,950.5376574466308
2024-03-20,888.5035795891341
2024-03-21,941.8572250400839
2024-03-22,959.448321384751
2024-03-23,983.3300708509807
2024-03-24,923.6741143935839
2024-03-25,925.1669826025995
2024-03-26,934.5391883071818
2024-03-27,977.1945608418778
2024-03-28,959.706075405347
2024-03-29,934.0321950109571
2024-03-30,955.3748731913897
2024-03-31,942.9114004540603
2024-04-01,979.0510155814604
2024-04-02,928.8930352524151
2024-04-03,940.0581071605703
2024-04-04,938.0284714925745
2024-04-05,905.7604417314534
2024-04-06,948.3941394220071
2024-04-07,947.1573430921381
2024-04-08,949.2648100986193
2024-04-09,941.8301450219797
2024-04-10,906.1336927348707
2024-04-11,935.6732955150375
2024-04-12,937.679933668746
2024-04-13,913.5327369865882
